id,gml_id,natcode,namefin,nameswe,landarea,freshwarea,seawarea,totalarea
1,1601100116,934,Vimpeli,Vimpeli,287.24,41.46,,328.7
2,1601100239,577,Paimio,Pemar,238.68,1.52,2.07,242.27
3,1601100584,402,Lapinlahti,Lapinlahti,1096.91,148.24,,1245.15
4,1601100001,072,Hailuoto,Karlö,205.61,1.69,875.4,1082.7
5,1601100376,226,Karstula,Karstula,887.08,76.11,,963.19
6,1601100096,061,Forssa,Forssa,248.87,4.49,,253.36
7,1601100465,286,Kouvola,Kouvola,2558.65,324.64,,2883.29
8,1601100644,417,Lemland,Lemland,113.3,0.8,851.2,965.3
9,1601100520,317,Kärsämäki,Kärsämäki,698.27,3.15,,701.42
10,1601100237,145,Ilmajoki,Ilmajoki,576.72,2.89,,579.61
11,1601100288,171,Joroinen,Jorois,574.9,136.87,,711.77
12,1601100434,265,Kivijärvi,Kivijärvi,483.95,115.92,,599.87
13,1601100109,499,Mustasaari,Korsholm,849.51,17.16,2311.93,3178.6
14,1601100107,249,Keuruu,Keuruu,1258.0,172.57,,1430.57
15,1601100005,434,Loviisa,Lovisa,820.38,25.44,905.7,1751.52
16,1601100193,981,Ypäjä,Ypäjä,182.76,0.49,,183.25
17,1601100334,630,Pyhäntä,Pyhäntä,810.18,36.57,,846.75
18,1601100564,607,Polvijärvi,Polvijärvi,804.68,153.65,,958.33
19,1601100365,217,Kannus,Kannus,468.02,2.32,,470.34
20,1601100614,208,Kalajoki,Kalajoki,923.45,6.9,1460.25,2390.6
21,1601100526,751,Simo,Simo,1445.7,20.8,618.99,2085.49
22,1601100201,494,Muhos,Muhos,784.61,13.54,,798.15
23,1601100137,946,Vöyri,Vörå,782.14,9.22,708.55,1499.91
24,1601100502,153,Imatra,Imatra,155.04,36.24,,191.28
25,1601100506,739,Savitaipale,Savitaipale,539.64,150.91,,690.55
26,1601100074,051,Eurajoki,Euraåminne,515.03,5.87,984.03,1504.93
27,1601100410,680,Raisio,Reso,48.8,0.57,0.69,50.06
28,1601100114,318,Kökar,Kökar,63.5899999999997,0.36,2101.07,2165.02
29,1601100230,142,Iitti,Iitti,589.86,97.23,,687.09
30,1601100559,626,Pyhäjärvi,Pyhäjärvi,1310.56,148.41,,1458.97
31,1601100427,691,Reisjärvi,Reisjärvi,474.32,28.76,,503.08
32,1601100167,535,Nivala,Nivala,527.35,9.05,,536.4
33,1601100119,935,Virolahti,Virolahti,372.56,4.21,182.21,558.98
34,1601100151,263,Kiuruvesi,Kiuruvesi,1328.32,94.58,,1422.9
35,1601100355,105,Hyrynsalmi,Hyrynsalmi,1421.5,99.88,,1521.38
36,1601100094,060,Finström,Finström,123.52,9.45,39.52,172.49
37,1601100472,791,Siikalatva,Siikalatva,2173.46,56.43,,2229.89
38,1601100091,921,Vesanto,Vesanto,422.63,147.18,,569.81
39,1601100353,320,Kemijärvi,Kemijärvi,3503.94,427.22,,3931.16
40,1601100286,170,Jomala,Jomala,142.97,0.96,543.07,687.0
41,1601100100,925,Vieremä,Vieremä,925.3,48.08,,973.38
42,1601100514,580,Parikkala,Parikkala,592.16,168.55,,760.71
43,1601100012,438,Lumparland,Lumparland,36.4,0.05,50.5,86.95
44,1601100102,495,Multia,Multia,733.22,32.41,,765.63
45,1601100281,599,Pedersören kunta,Pedersöre,794.23,31.78,0.0,826.01
46,1601100081,889,Utajärvi,Utajärvi,1669.43,65.47,,1734.9
47,1601100241,578,Paltamo,Paltamo,918.8,220.94,,1139.74
