id,gml_id,natcode,namefin,nameswe,landarea,freshwarea,seawarea,totalarea,Tiedot,Kunta,2026* Kaikki majoitusliikkeet,2026* Hotellit,2026* Leirintäalueet,2026* Muut majoitusliikkeet,Päällyste,Vuosi,Alue,Yhteensä,Valtatie,Kantatie,Seututie,Yhdystie,Lauttaväli
1.0,1601100116.0,934.0,Vimpeli,Vimpeli,287.24,41.46,,328.7,,,,,,,,,,,,,,,
2.0,1601100239.0,577.0,Paimio,Pemar,238.68,1.52,2.07,242.27,,,,,,,,,,,,,,,
3.0,1601100584.0,402.0,Lapinlahti,Lapinlahti,1096.91,148.24,,1245.15,,,,,,,,,,,,,,,
4.0,1601100001.0,72.0,Hailuoto,Karlö,205.61,1.69,875.4,1082.7,,,,,,,,,,,,,,,
5.0,1601100376.0,226.0,Karstula,Karstula,887.08,76.11,,963.19,,,,,,,,,,,,,,,
6.0,1601100096.0,61.0,Forssa,Forssa,248.87,4.49,,253.36,,,,,,,,,,,,,,,
7.0,1601100465.0,286.0,Kouvola,Kouvola,2558.65,324.64,,2883.29,,,,,,,,,,,,,,,
8.0,1601100644.0,417.0,Lemland,Lemland,113.3,0.8,851.2,965.3,,,,,,,,,,,,,,,
9.0,1601100520.0,317.0,Kärsämäki,Kärsämäki,698.27,3.15,,701.42,,,,,,,,,,,,,,,
10.0,1601100237.0,145.0,Ilmajoki,Ilmajoki,576.72,2.89,,579.61,,,,,,,,,,,,,,,
11.0,1601100288.0,171.0,Joroinen,Jorois,574.9,136.87,,711.77,,,,,,,,,,,,,,,
12.0,1601100434.0,265.0,Kivijärvi,Kivijärvi,483.95,115.92,,599.87,,,,,,,,,,,,,,,
13.0,1601100109.0,499.0,Mustasaari,Korsholm,849.51,17.16,2311.93,3178.6,,,,,,,,,,,,,,,
14.0,1601100107.0,249.0,Keuruu,Keuruu,1258.0,172.57,,1430.57,,,,,,,,,,,,,,,
15.0,1601100005.0,434.0,Loviisa,Lovisa,820.38,25.44,905.7,1751.52,,,,,,,,,,,,,,,
16.0,1601100193.0,981.0,Ypäjä,Ypäjä,182.76,0.49,,183.25,,,,,,,,,,,,,,,
17.0,1601100334.0,630.0,Pyhäntä,Pyhäntä,810.18,36.57,,846.75,,,,,,,,,,,,,,,
18.0,1601100564.0,607.0,Polvijärvi,Polvijärvi,804.68,153.65,,958.33,,,,,,,,,,,,,,,
19.0,1601100365.0,217.0,Kannus,Kannus,468.02,2.32,,470.34,,,,,,,,,,,,,,,
20.0,1601100614.0,208.0,Kalajoki,Kalajoki,923.45,6.9,1460.25,2390.6,,,,,,,,,,,,,,,
21.0,1601100526.0,751.0,Simo,Simo,1445.7,20.8,618.99,2085.49,,,,,,,,,,,,,,,
22.0,1601100201.0,494.0,Muhos,Muhos,784.61,13.54,,798.15,,,,,,,,,,,,,,,
23.0,1601100137.0,946.0,Vöyri,Vörå,782.14,9.22,708.55,1499.91,,,,,,,,,,,,,,,
24.0,1601100502.0,153.0,Imatra,Imatra,155.04,36.24,,191.28,,,,,,,,,,,,,,,
25.0,1601100506.0,739.0,Savitaipale,Savitaipale,539.64,150.91,,690.55,,,,,,,,,,,,,,,
26.0,1601100074.0,51.0,Eurajoki,Euraåminne,515.03,5.87,984.03,1504.93,,,,,,,,,,,,,,,
27.0,1601100410.0,680.0,Raisio,Reso,48.8,0.57,0.69,50.06,,,,,,,,,,,,,,,
28.0,1601100114.0,318.0,Kökar,Kökar,63.5899999999997,0.36,2101.07,2165.02,,,,,,,,,,,,,,,
29.0,1601100230.0,142.0,Iitti,Iitti,589.86,97.23,,687.09,,,,,,,,,,,,,,,
30.0,1601100559.0,626.0,Pyhäjärvi,Pyhäjärvi,1310.56,148.41,,1458.97,,,,,,,,,,,,,,,
31.0,1601100427.0,691.0,Reisjärvi,Reisjärvi,474.32,28.76,,503.08,,,,,,,,,,,,,,,
32.0,1601100167.0,535.0,Nivala,Nivala,527.35,9.05,,536.4,,,,,,,,,,,,,,,
33.0,1601100119.0,935.0,Virolahti,Virolahti,372.56,4.21,182.21,558.98,,,,,,,,,,,,,,,
34.0,1601100151.0,263.0,Kiuruvesi,Kiuruvesi,1328.32,94.58,,1422.9,,,,,,,,,,,,,,,
35.0,1601100355.0,105.0,Hyrynsalmi,Hyrynsalmi,1421.5,99.88,,1521.38,,,,,,,,,,,,,,,
36.0,1601100094.0,60.0,Finström,Finström,123.52,9.45,39.52,172.49,,,,,,,,,,,,,,,
37.0,1601100472.0,791.0,Siikalatva,Siikalatva,2173.46,56.43,,2229.89,,,,,,,,,,,,,,,
38.0,1601100091.0,921.0,Vesanto,Vesanto,422.63,147.18,,569.81,,,,,,,,,,,,,,,
39.0,1601100353.0,320.0,Kemijärvi,Kemijärvi,3503.94,427.22,,3931.16,,,,,,,,,,,,,,,
40.0,1601100286.0,170.0,Jomala,Jomala,142.97,0.96,543.07,687.0,,,,,,,,,,,,,,,
41.0,1601100100.0,925.0,Vieremä,Vieremä,925.3,48.08,,973.38,,,,,,,,,,,,,,,
42.0,1601100514.0,580.0,Parikkala,Parikkala,592.16,168.55,,760.71,,,,,,,,,,,,,,,
43.0,1601100012.0,438.0,Lumparland,Lumparland,36.4,0.05,50.5,86.95,,,,,,,,,,,,,,,
44.0,1601100102.0,495.0,Multia,Multia,733.22,32.41,,765.63,,,,,,,,,,,,,,,
45.0,1601100281.0,599.0,Pedersören kunta,Pedersöre,794.23,31.78,0.0,826.01,,,,,,,,,,,,,,,
46.0,1601100081.0,889.0,Utajärvi,Utajärvi,1669.43,65.47,,1734.9,,,,,,,,,,,,,,,
47.0,1601100241.0,578.0,Paltamo,Paltamo,918.8,220.94,,1139.74,,,,,,,,,,,,,,,
48.0,1601100129.0,78.0,Hanko,Hangö,117.6,1.52,680.91,800.03,,,,,,,,,,,,,,,
49.0,1601100029.0,16.0,Asikkala,Asikkala,563.54,192.01,,755.55,,,,,,,,,,,,,,,
50.0,1601100494.0,734.0,Salo,Salo,1989.92,73.31,105.05,2168.28,,,,,,,,,,,,,,,
51.0,1601100087.0,918.0,Vehmaa,Vehmaa,189.22,3.07,9.76,202.05,,,,,,,,,,,,,,,
52.0,1601100586.0,834.0,Tammela,Tammela,640.57,74.59,,715.16,,,,,,,,,,,,,,,
53.0,1601100303.0,922.0,Vesilahti,Vesilahti,301.08,52.85,,353.93,,,,,,,,,,,,,,,
54.0,1601100043.0,890.0,Utsjoki,Utsjoki,5148.39,223.61,,5372.0,,,,,,,,,,,,,,,
55.0,1601100039.0,887.0,Urjala,Urjala,475.5,29.9,,505.4,,,,,,,,,,,,,,,
56.0,1601100327.0,783.0,Säkylä,Säkylä,406.87,120.94,,527.81,,,,,,,,,,,,,,,
57.0,1601100127.0,508.0,Mänttä-Vilppula,Mänttä-Vilppula,534.78,122.3,,657.08,,,,,,,,,,,,,,,
58.0,1601100632.0,410.0,Laukaa,Laukaa,648.49,177.11,,825.6,,,,,,,,,,,,,,,
59.0,1601100640.0,846.0,Teuva,Östermark,554.73,1.32,,556.05,,,,,,,,,,,,,,,
60.0,1601100357.0,211.0,Kangasala,Kangasala,658.03,212.84,,870.87,,,,,,,,,,,,,,,
61.0,1601100162.0,102.0,Huittinen,Huittinen,532.65,6.9,,539.55,,,,,,,,,,,,,,,
62.0,1601100247.0,581.0,Parkano,Parkano,852.91,56.66,,909.57,,,,,,,,,,,,,,,
63.0,1601100329.0,927.0,Vihti,Vichtis,522.23,44.83,,567.06,,,,,,,,,,,,,,,
64.0,1601100347.0,636.0,Pöytyä,Pöytyä,749.99,23.56,,773.55,,,,,,,,,,,,,,,
65.0,1601100197.0,276.0,Kontiolahti,Kontiolahti,799.8,230.02,,1029.82,,,,,,,,,,,,,,,
66.0,1601100532.0,758.0,Sodankylä,Sodankylä,11704.04,711.32,,12415.36,,,,,,,,,,,,,,,
67.0,1601100123.0,75.0,Hamina,Fredrikshamn,610.64,23.07,521.44,1155.15,,,,,,,,,,,,,,,
68.0,1601100309.0,614.0,Posio,Posio,3039.42,505.23,,3544.65,,,,,,,,,,,,,,,
69.0,1601100389.0,233.0,Kauhava,Kauhava,1313.89,14.5,,1328.39,,,,,,,,,,,,,,,
70.0,1601100269.0,256.0,Kinnula,Kinnula,460.21,35.52,,495.73,,,,,,,,,,,,,,,
71.0,1601100295.0,176.0,Juuka,Juuka,1501.59,344.99,,1846.58,,,,,,,,,,,,,,,
72.0,1601100037.0,886.0,Ulvila,Ulvsby,400.84,21.67,,422.51,,,,,,,,,,,,,,,
73.0,1601100047.0,892.0,Uurainen,Uurainen,347.99,24.26,,372.25,,,,,,,,,,,,,,,
74.0,1601100451.0,707.0,Rääkkylä,Rääkkylä,428.25,271.43,,699.68,,,,,,,,,,,,,,,
75.0,1601100363.0,216.0,Kannonkoski,Kannonkoski,445.01,104.87,,549.88,,,,,,,,,,,,,,,
76.0,1601100276.0,165.0,Janakkala,Janakkala,547.5,38.57,,586.07,,,,,,,,,,,,,,,
77.0,1601100058.0,441.0,Luumäki,Luumäki,750.2,109.63,,859.83,,,,,,,,,,,,,,,
78.0,1601100064.0,475.0,Maalahti,Malax,522.14,3.81,1428.99,1954.94,,,,,,,,,,,,,,,
79.0,1601100442.0,702.0,Ruovesi,Ruovesi,776.93,173.24,,950.17,,,,,,,,,,,,,,,
80.0,1601100488.0,729.0,Saarijärvi,Saarijärvi,1251.77,170.96,,1422.73,,,,,,,,,,,,,,,
81.0,1601100576.0,611.0,Pornainen,Borgnäs,146.54,3.55,,150.09,,,,,,,,,,,,,,,
82.0,1601100149.0,47.0,Enontekiö,Enontekis,7968.86,422.47,,8391.33,,,,,,,,,,,,,,,
83.0,1601100540.0,762.0,Sonkajärvi,Sonkajärvi,1466.06,110.73,,1576.79,,,,,,,,,,,,,,,
84.0,1601100031.0,18.0,Askola,Askola,212.63,5.41,,218.04,,,,,,,,,,,,,,,
85.0,1601100666.0,430.0,Loimaa,Loimaa,848.1,3.76,,851.86,,,,,,,,,,,,,,,
86.0,1601100396.0,601.0,Pihtipudas,Pihtipudas,1074.99,172.53,,1247.52,,,,,,,,,,,,,,,
87.0,1601100496.0,152.0,Isokyrö,Storkyro,354.15,2.76,,356.91,,,,,,,,,,,,,,,
88.0,1601100133.0,81.0,Hartola,Hartola,542.93,132.56,,675.49,,,,,,,,,,,,,,,
89.0,1601100195.0,491.0,Mikkeli,S:t Michel,2548.38,681.2,,3229.58,,,,,,,,,,,,,,,
90.0,1601100476.0,291.0,Kuhmoinen,Kuhmoinen,660.94,275.75,,936.69,,,,,,,,,,,,,,,
91.0,1601100432.0,694.0,Riihimäki,Riihimäki,121.01,4.54,,125.55,,,,,,,,,,,,,,,
92.0,1601100424.0,689.0,Rautjärvi,Rautjärvi,351.48,50.42,,401.9,,,,,,,,,,,,,,,
93.0,1601100297.0,177.0,Juupajoki,Juupajoki,258.49,16.45,,274.94,,,,,,,,,,,,,,,
94.0,1601100386.0,232.0,Kauhajoki,Kauhajoki,1299.01,16.52,,1315.53,,,,,,,,,,,,,,,
95.0,1601100141.0,260.0,Kitee,Kitee,1253.86,470.52,,1724.38,,,,,,,,,,,,,,,
96.0,1601100331.0,529.0,Naantali,Nådendal,312.9,3.85,371.5,688.25,,,,,,,,,,,,,,,
97.0,1601100642.0,416.0,Lemi,Lemi,218.01,44.47,,262.48,,,,,,,,,,,,,,,
98.0,1601100534.0,759.0,Soini,Soini,551.95,22.27,,574.22,,,,,,,,,,,,,,,
99.0,1601100620.0,853.0,Turku,Åbo,245.85,3.46,57.05,306.36,,,,,,,,,,,,,,,
100.0,1601100598.0,625.0,Pyhäjoki,Pyhäjoki,544.66,5.68,816.21,1366.55,,,,,,,,,,,,,,,
101.0,1601100009.0,5.0,Alajärvi,Alajärvi,1008.8,48.03,,1056.83,,,,,,,,,,,,,,,
102.0,1601100478.0,146.0,Ilomantsi,Ilomants,2763.38,409.29,,3172.67,,,,,,,,,,,,,,,
103.0,1601100638.0,845.0,Tervola,Tervola,1559.94,32.09,,1592.03,,,,,,,,,,,,,,,
104.0,1601100203.0,989.0,Ähtäri,Etseri,805.69,105.17,,910.86,,,,,,,,,,,,,,,
105.0,1601100536.0,583.0,Pelkosenniemi,Pelkosenniemi,1836.41,45.41,,1881.82,,,,,,,,,,,,,,,
106.0,1601100608.0,398.0,Lahti,Lahtis,459.58,58.05,,517.63,,,,,,,,,,,,,,,
107.0,1601100380.0,976.0,Ylitornio,Övertorneå,2030.71,182.06,,2212.77,,,,,,,,,,,,,,,
108.0,1601100255.0,584.0,Perho,Perho,747.87,27.31,,775.18,,,,,,,,,,,,,,,
109.0,1601100508.0,740.0,Savonlinna,Nyslott,2223.14,1343.23,,3566.37,,,,,,,,,,,,,,,
110.0,1601100504.0,738.0,Sauvo,Sagu,252.89,1.18,45.59,299.66,,,,,,,,,,,,,,,
111.0,1601100416.0,684.0,Rauma,Raumo,496.31,13.89,599.92,1110.12,,,,,,,,,,,,,,,
112.0,1601100121.0,74.0,Halsua,Halsua,412.99,15.35,,428.34,,,,,,,,,,,,,,,
113.0,1601100315.0,186.0,Järvenpää,Träskända,37.54,2.39,,39.93,,,,,,,,,,,,,,,
114.0,1601100027.0,436.0,Lumijoki,Lumijoki,214.14,0.24,75.91,290.29,,,,,,,,,,,,,,,
115.0,1601100098.0,62.0,Föglö,Föglö,135.37,0.2,1733.5,1869.07,,,,,,,,,,,,,,,
116.0,1601100447.0,704.0,Rusko,Rusko,127.16,0.74,,127.9,,,,,,,,,,,,,,,
117.0,1601100590.0,271.0,Kokemäki,Kumo,480.73,50.53,,531.26,,,,,,,,,,,,,,,
118.0,1601100588.0,765.0,Sotkamo,Sotkamo,2648.87,302.97,,2951.84,,,,,,,,,,,,,,,
119.0,1601100272.0,205.0,Kajaani,Kajana,1835.09,428.73,,2263.82,,,,,,,,,,,,,,,
120.0,1601100658.0,425.0,Liminka,Limingo,637.36,5.31,9.03,651.7,,,,,,,,,,,,,,,
121.0,1601100157.0,481.0,Masku,Masku,175.25,1.1,27.72,204.07,,,,,,,,,,,,,,,
