"Tiedot","Kunta","2026* Kaikki majoitusliikkeet","2026* Hotellit","2026* Leirintäalueet","2026* Muut majoitusliikkeet"
"Vuoteet, lkm","KOKO MAA",190839,134749,11343,44747
"Vuoteet, lkm","Akaa",.,.,.,.
"Vuoteet, lkm","Alajärvi",.,.,.,.
"Vuoteet, lkm","Alavieska",.,.,.,.
"Vuoteet, lkm","Alavus",364,.,.,.
"Vuoteet, lkm","Asikkala",557,.,.,308
"Vuoteet, lkm","Aura",.,.,.,.
"Vuoteet, lkm","Brändö",257,.,.,174
"Vuoteet, lkm","Eckerö",899,.,507,264
"Vuoteet, lkm","Enonkoski",.,.,.,.
"Vuoteet, lkm","Enontekiö",1409,703,.,579
"Vuoteet, lkm","Espoo",3690,3442,.,.
"Vuoteet, lkm","Eura",.,.,.,.
"Vuoteet, lkm","Eurajoki",.,.,.,.
"Vuoteet, lkm","Evijärvi",.,.,.,.
"Vuoteet, lkm","Finström",331,.,.,331
"Vuoteet, lkm","Forssa",196,196,.,.
"Vuoteet, lkm","Föglö",.,.,.,.
"Vuoteet, lkm","Geta",228,.,.,68
"Vuoteet, lkm","Haapajärvi",.,.,.,.
"Vuoteet, lkm","Haapavesi",.,.,.,.
"Vuoteet, lkm","Hailuoto",.,.,.,.
"Vuoteet, lkm","Halsua",.,.,.,.
"Vuoteet, lkm","Hamina",163,.,.,.
"Vuoteet, lkm","Hammarland",142,.,.,142
"Vuoteet, lkm","Hankasalmi",.,.,.,.
"Vuoteet, lkm","Hanko",573,240,.,271
"Vuoteet, lkm","Harjavalta",.,.,.,.
"Vuoteet, lkm","Hartola",154,.,.,.
"Vuoteet, lkm","Hattula",.,.,.,.
"Vuoteet, lkm","Heinola",2612,1969,.,588
"Vuoteet, lkm","Heinävesi",278,.,.,.
"Vuoteet, lkm","Helsinki",27492,26586,.,832
"Vuoteet, lkm","Hirvensalmi",.,.,.,.
"Vuoteet, lkm","Hollola",319,.,.,.
"Vuoteet, lkm","Huittinen",.,.,.,.
"Vuoteet, lkm","Humppila",.,.,.,.
"Vuoteet, lkm","Hyrynsalmi",.,.,.,.
"Vuoteet, lkm","Hyvinkää",.,.,.,.
"Vuoteet, lkm","Hämeenkyrö",.,.,.,.
"Vuoteet, lkm","Hämeenlinna",1550,1190,.,344
"Vuoteet, lkm","Ii",129,.,.,.
"Vuoteet, lkm","Iisalmi",541,442,.,.
"Vuoteet, lkm","Iitti",202,.,.,.
"Vuoteet, lkm","Ikaalinen",594,.,.,.
"Vuoteet, lkm","Ilmajoki",.,.,.,.
"Vuoteet, lkm","Ilomantsi",230,.,.,140
"Vuoteet, lkm","Imatra",1631,1430,.,.
"Vuoteet, lkm","Inari",5995,4207,199,1589
"Vuoteet, lkm","Inkoo",.,.,.,.
"Vuoteet, lkm","Isojoki",.,.,.,.
"Vuoteet, lkm","Isokyrö",74,.,.,.
"Vuoteet, lkm","Janakkala",167,.,.,.
"Vuoteet, lkm","Joensuu",1526,1323,.,95
"Vuoteet, lkm","Jomala",91,.,.,91
"Vuoteet, lkm","Joroinen",.,.,.,.
"Vuoteet, lkm","Joutsa",77,.,.,.
"Vuoteet, lkm","Juuka",145,.,.,.
"Vuoteet, lkm","Juupajoki",.,.,.,.
"Vuoteet, lkm","Juva",.,.,.,.
"Vuoteet, lkm","Jyväskylä",3602,3173,.,429
"Vuoteet, lkm","Jämijärvi",81,.,.,.
"Vuoteet, lkm","Jämsä",4517,4023,.,442
"Vuoteet, lkm","Järvenpää",.,.,.,.
"Vuoteet, lkm","Kaarina",133,.,.,.
"Vuoteet, lkm","Kaavi",.,.,.,.
"Vuoteet, lkm","Kajaani",736,670,.,.
"Vuoteet, lkm","Kalajoki",2915,550,.,2053
"Vuoteet, lkm","Kangasala",138,.,.,.
"Vuoteet, lkm","Kangasniemi",.,.,.,.
"Vuoteet, lkm","Kankaanpää",268,268,.,.
"Vuoteet, lkm","Kannonkoski",.,.,.,.
"Vuoteet, lkm","Kannus",.,.,.,.
"Vuoteet, lkm","Karkkila",.,.,.,.
"Vuoteet, lkm","Karstula",.,.,.,.
"Vuoteet, lkm","Karvia",.,.,.,.
"Vuoteet, lkm","Kaskinen",.,.,.,.
"Vuoteet, lkm","Kauhajoki",169,.,.,.
"Vuoteet, lkm","Kauhava",774,692,.,.
"Vuoteet, lkm","Kauniainen",.,.,.,.
"Vuoteet, lkm","Kaustinen",129,.,.,.
"Vuoteet, lkm","Keitele",.,.,.,.
"Vuoteet, lkm","Kemi",746,709,.,.
"Vuoteet, lkm","Kemijärvi",820,426,.,390
