"Päällyste","Vuosi","Tiedot","Alue","Yhteensä","Valtatie","Kantatie","Seututie","Yhdystie","Lauttaväli"
"Yhteensä","2025","Tiepituus","MA1 MANNER-SUOMI",77828,8604,4853,13442,50867,62
"Yhteensä","2025","Tiepituus","MK01 Uusimaa",4546,530,214,757,3044,1
"Yhteensä","2025","Tiepituus","  Espoo",156,20,29,36,70,.
"Yhteensä","2025","Tiepituus","  Helsinki",76,25,12,35,4,.
"Yhteensä","2025","Tiepituus","  Hyvinkää",167,36,.,21,111,.
"Yhteensä","2025","Tiepituus","  Järvenpää",30,6,.,8,17,.
"Yhteensä","2025","Tiepituus","  Karkkila",111,23,.,29,60,.
"Yhteensä","2025","Tiepituus","  Kauniainen",2,1,.,1,.,.
"Yhteensä","2025","Tiepituus","  Kerava",24,8,.,13,3,.
"Yhteensä","2025","Tiepituus","  Kirkkonummi",188,6,22,7,153,.
"Yhteensä","2025","Tiepituus","  Lohja",519,62,.,123,335,.
"Yhteensä","2025","Tiepituus","  Mäntsälä",323,48,13,46,217,.
"Yhteensä","2025","Tiepituus","  Nurmijärvi",262,31,12,43,176,.
"Yhteensä","2025","Tiepituus","  Pornainen",58,.,.,9,49,.
"Yhteensä","2025","Tiepituus","  Sipoo",190,13,.,35,143,.
"Yhteensä","2025","Tiepituus","  Siuntio",113,.,6,17,89,.
"Yhteensä","2025","Tiepituus","  Tuusula",148,4,17,22,105,.
"Yhteensä","2025","Tiepituus","  Vantaa",131,28,28,33,42,.
"Yhteensä","2025","Tiepituus","  Vihti",293,56,.,44,193,.
"Yhteensä","2025","Tiepituus","  Lapinjärvi",136,20,.,10,106,.
"Yhteensä","2025","Tiepituus","  Loviisa",357,51,.,66,240,.
"Yhteensä","2025","Tiepituus","  Askola",121,.,9,7,105,.
"Yhteensä","2025","Tiepituus","  Myrskylä",84,.,.,33,51,.
"Yhteensä","2025","Tiepituus","  Porvoo",310,29,13,35,233,0
"Yhteensä","2025","Tiepituus","  Pukkila",64,.,.,17,47,.
"Yhteensä","2025","Tiepituus","  Hanko",52,18,.,.,34,.
"Yhteensä","2025","Tiepituus","  Inkoo",145,3,23,23,96,0
"Yhteensä","2025","Tiepituus","  Raasepori",483,44,29,46,364,0
"Yhteensä","2025","Tiepituus","MK02 Varsinais-Suomi",4756,310,192,702,3553,46
